A,B,,C,D,E,F,G,H
0,-16.8251793155876,,0,-20.3337701342761,0,-20.3337701342761,0,-20.3337701342761
1,-16.8251793155876,,0,-20.3325928981214,0,-20.3325928981214,0,-20.3325928981214
0,1E+308,,0,-20.3314156619666,0,-20.3314156619666,0,-20.3314156619666
0,-16.6687954951878,,0,-20.3302384258119,0,-20.3302384258119,0,-20.3302384258119
1,-16.6687954951878,,0,-20.3290611896571,0,-20.3290611896571,0,-20.3290611896571
0,1E+308,,0,-20.3278839535024,0,-20.3278839535024,0,-20.3278839535024
0,-16.668468958587,,0,-20.3267067173476,0,-20.3267067173476,0,-20.3267067173476
1,-16.668468958587,,0,-20.3255294811929,0,-20.3255294811929,0,-20.3255294811929
0,1E+308,,0,-20.3243522450381,0,-20.3243522450381,0,-20.3243522450381
0,-16.6591898768476,,0,-20.3231750088834,0,-20.3231750088834,0,-20.3231750088834
1,-16.6591898768476,,0,-20.3219977727286,0,-20.3219977727286,0,-20.3219977727286
0,1E+308,,0,-20.3208205365739,0,-20.3208205365739,0,-20.3208205365739
0,-16.6473529250686,,0,-20.3196433004191,0,-20.3196433004191,0,-20.3196433004191
1,-16.6473529250686,,0,-20.3184660642644,0,-20.3184660642644,0,-20.3184660642644
0,1E+308,,0,-20.3172888281096,0,-20.3172888281096,0,-20.3172888281096
0,-16.6461012014322,,0,-20.3161115919549,0,-20.3161115919549,0,-20.3161115919549
1,-16.6461012014322,,0,-20.3149343558001,0,-20.3149343558001,0,-20.3149343558001
0,1E+308,,0,-20.3137571196454,0,-20.3137571196454,0,-20.3137571196454
0,-16.6119509152652,,0,-20.3125798834906,0,-20.3125798834906,0,-20.3125798834906
1,-16.6119509152652,,0,-20.3114026473359,0,-20.3114026473359,0,-20.3114026473359
0,1E+308,,0,-20.3102254111811,0,-20.3102254111811,0,-20.3102254111811
0,-16.5464803268048,,0,-20.3090481750264,0,-20.3090481750264,0,-20.3090481750264
1,-16.5464803268048,,0,-20.3078709388717,0,-20.3078709388717,0,-20.3078709388717
0,1E+308,,0,-20.3066937027169,0,-20.3066937027169,0,-20.3066937027169
0,-16.5459088877534,,0,-20.3055164665622,0,-20.3055164665622,0,-20.3055164665622
1,-16.5459088877534,,0,-20.3043392304074,0,-20.3043392304074,0,-20.3043392304074
0,1E+308,,0,-20.3031619942527,0,-20.3031619942527,0,-20.3031619942527
0,-16.5425890989786,,0,-20.3019847580979,0,-20.3019847580979,0,-20.3019847580979
1,-16.5425890989786,,0,-20.3008075219432,0,-20.3008075219432,0,-20.3008075219432
0,1E+308,,0,-20.2996302857884,0,-20.2996302857884,0,-20.2996302857884
0,-16.5418271802434,,0,-20.2984530496337,0,-20.2984530496337,0,-20.2984530496337
1,-16.5418271802434,,0,-20.2972758134789,0,-20.2972758134789,0,-20.2972758134789
0,1E+308,,0,-20.2960985773242,0,-20.2960985773242,0,-20.2960985773242
0,-16.3976884823736,,0,-20.2949213411694,0,-20.2949213411694,0,-20.2949213411694
1,-16.3976884823736,,0,-20.2937441050147,0,-20.2937441050147,0,-20.2937441050147
0,1E+308,,0,-20.2925668688599,0,-20.2925668688599,0,-20.2925668688599
